comment    like                        nick     postTime  reply  unlike                                user_url
我说现在柯哀真是越来越过分了，新兰的感情可是你们说散就散的？小兰这么好的女孩被你们说成这样，...    34.0                   小鸟依人63716  2018年01月13日    (1)     1.0  http://i.youku.com/i/UNDkwNTczNjYwMA==
”断指血书，一明其志。“”驱除鞑虏，复我中华。“同胞们你们在等什么，他们这是在公然挑衅，日本...     5.0                        地獄戁爵  2013年10月12日    (6)     5.0  http://i.youku.com/i/UMTMwNDU0ODkwNA==
动画片就是这么搞笑，小兰落水，这么多人，这么多仪器都派不上用场，只需要小新一的一声大吼，小兰...     6.0        腾讯用户1499402062698296  2018年03月04日    NaN     2.0  http://i.youku.com/i/UNDc4NDUxMjA1Ng==
每次毛利小五郎被柯南射晕的时候 人家嘴巴都没动 怎么能说话 这个好坑啊 难道现场那么多人都是...     9.0                缘来是你18493077  2015年03月05日    (4)     4.0  http://i.youku.com/i/UMTg1MTgwODUwOA==
我的意思是 73自己都说了新兰的官配 小哀配角咋地 我就是喜欢她 对小兰无感 但不反对新兰 ...     7.0                     魔女_倾城无泪  2016年12月18日    (3)     7.0      http://i.youku.com/i/UNDAwNjk1Mjgw
看到一视频小兰要嫁给别人了，不是P的，小兰看到新一没去找她哭的很伤心，柯南那时是高中，柯南去...     9.0                         方晓冉  2017年07月28日    (2)     5.0  http://i.youku.com/i/UMzM5ODY0NDI1Mg==
说喜欢柯哀党的 请好好想想 每次小哀跟小兰一起遇到危险 柯南第一个想到的是小兰 每一次都一样...    10.0                小柒ぐ汐57969252  2015年07月08日    (5)     NaN  http://i.youku.com/i/UMjg4MDE2ODU4NA==
我觉得找到药之后变回来然后捣毁黑衣人整个团伙，然后新兰再吃APTX4869，再来一次青梅竹马...    11.0                  帅戈06816614  2018年01月28日    NaN     4.0  http://i.youku.com/i/UMzM3MTk0Nzk3Ng==
     其事小哀和新一很配，不过新兰占上风，变回一年级的新一和小哀更适合，不喜勿喷。自认为很对✔     5.0                     爆酷的女王大大  2017年09月10日    (2)    20.0  http://i.youku.com/i/UMzM3MDM5ODM0MA==
                                    第一次看到柯南为小兰流泪耶   619.0                      小男人JAY  2016年03月25日   (37)    37.0  http://i.youku.com/i/UMzMyNDg2OTg4MA==
园子你要是真懂事就别在那哭，老老实实跟小兰在家下下棋，出来你遇事就死人，你们害死了多少人？连...     3.0                    6be54d15  2015年07月30日    (4)    13.0  http://i.youku.com/i/UMTM5NjgzNjAyMA==
我已基本猜透柯南剧场版的唯一目的！每一次都是为了表达小兰差点就死了然后被柯南救回来........     4.0                  Gchengyang  2013年12月04日    (4)     2.0      http://i.youku.com/i/UMzgzMDExNTUy
看柯南，很解气，柯南的世界里，他到哪里那里死小日本，而且那的小日本除了柯南和几个特别人物外，...     8.0                        循环时光  2013年11月06日    (3)     3.0      http://i.youku.com/i/UNDA0Mzk3Mzcy
我四年级柯南一年级，我现在25岁了柯南君2年纪了，等我到50岁柯南君可能才3年纪。然后等我入...     9.0                   晨寳寳AND辰寳寳  2013年10月17日    (3)     NaN      http://i.youku.com/i/UMTU3NDA2Nzg4
没看名柯前我一直羡慕小兰能有新一这样的守护者，看了名柯后我却嫉妒新一能有小兰这样的等待者。危...    14.0                       秋风落霞起  2015年08月24日    (2)     2.0  http://i.youku.com/i/UMTYxODk2OTU3Ng==
柯南要是变不回新一了，我支持柯哀，要是柯南变回新一，我支持新兰，虽然这么想，但还是更喜欢新兰...    25.0           转身丶巴黎一场雨季65822374  2017年07月18日    NaN     3.0  http://i.youku.com/i/UMzA2MTg3MDU0OA==
看了这么多集柯南，时不时的就看见柯南吃小兰的醋，妥妥的撒狗粮啊，小哀是个很好的女生，也希望她...    20.0        腾讯用户1501314419489743  2017年08月22日    NaN     1.0  http://i.youku.com/i/UNDg1NTk1MDMyMA==
柯南的每一部剧场版我都有追，这是唯一一部没怎么看甚至记不住情节的剧场版，可能是潜意识里看见日...    11.0               优酷用户809628441  2017年10月31日    NaN     3.0  http://i.youku.com/i/UMzIzODUxMzc2NA==
有几个吐槽点1、穗高号应该是日本的爱宕级，但是现实中是双机库的，片中却是单机库。2、遇到不明...     NaN                       蕃茄薯仔汤  2013年10月19日    (5)     NaN      http://i.youku.com/i/UNTEwODQ5Nzky
你我不过是普通人，你我不是高官要员，达官显贵。这是我力所能及的事，我现在只能做这些，在你们评...     NaN                        地獄戁爵  2013年10月12日    (5)     3.0  http://i.youku.com/i/UMTMwNDU0ODkwNA==
柯南陪伴了我们20多年了。我东方怡谦从9岁开始，到15岁了，班里很多丢东西的事件都是我破的，...     5.0              微信用户8804489353  2018年01月12日    NaN     2.0  http://i.youku.com/i/UNDcxMjEyOTUxMg==
恩恩//@小柒ぐ汐57969252:说喜欢柯哀党的 请好好想想 每次小哀跟小兰一起遇到危险 ...   563.0                蔷薇柠檬14829042  2015年07月15日   (39)    81.0  http://i.youku.com/i/UMTQ4NDAwMTIxMg==
                         我想给喜欢新兰的人说一句，青梅竹马比不过一见钟情    12.0                        阴阳交易  2016年07月04日   (20)    10.0  http://i.youku.com/i/UMzI2Mjg0MDg0NA==
        你们都没有注意到吗？宙斯盾挂的是日本军国主义的旭日旗，丝毫没有战败悔意的日本，气愤     4.0                        紫云小侠  2013年10月16日    (3)     1.0      http://i.youku.com/i/UNTgzNzU4OTM2
动画片怎么有政治色彩的味道了，这么大肆宣传与美国的关系，还有周围的海域，似乎连动画片都进入备...     3.0                  璇玑20040308  2013年12月08日    (3)     NaN      http://i.youku.com/i/UMjU2NDU0OTUy
我觉得什么脑残，无耻，犯溅的词比较适合你这种在网络上乱咬人的人吧，支持新兰怎么了，别人情投意...     4.0                         李1哆  2013年10月25日    (3)     1.0      http://i.youku.com/i/UNTg5NDkyMDc2
                                     柯哀万岁，小兰去死！！！    46.0               maple97416043  2015年06月30日   (66)    20.0  http://i.youku.com/i/UMTQ4ODExMDkwOA==
看不惯你们这些黑步美他们的，人家只是一年级，想帮柯南但是方法可能不太对，思想很单纯嘛。剧情需...    11.0              qzuser69134706  2017年08月31日    NaN     2.0  http://i.youku.com/i/UMzMyOTM1Nzg1Mg==
           好喜欢这一部，我大新兰威武。柯南的第一滴泪啊，谁再和我说新一不喜欢兰我和谁急    13.0                         音桃春  2017年07月12日    NaN     NaN  http://i.youku.com/i/UMjkxNDI5NzA0MA==
求剧场版18名字，我记不清了，只记得是2014年的4月或10学播出，爱柯南，知道名字的告诉一...     1.0   优酷用户ha4881486464126104349  2013年10月13日    (4)     1.0                   http://i.youku.com/i/
那有些新兰党就是这样 我们小兰等了新一二十年 二十年？ 柯南的时间轴还没有过半年 新兰为主的...     4.0        腾讯用户1472906165786793  2017年12月17日    NaN     6.0  http://i.youku.com/i/UMzk2NTEwNTQyNA==
  基德的剧场有：世纪末的魔术师，银翼的魔法师。天空的遇难船侦探们的镇魂曲，业火的向日葵等五部剧场     9.0                      希望爱情光临  2017年08月17日    NaN     NaN  http://i.youku.com/i/UMTk1Mzk5MDEyNA==
                      实在是太喜欢新一小兰这对情侣了，好可爱，也好让人感动啊     7.0                       白菜吃百菜  2013年10月22日   (39)     NaN      http://i.youku.com/i/UMzc1NDE3Nzgw
           柯哀属于知已，新兰才是一对，剧场版的十字路口那集已经说明！！！！！！！！！！     8.0              优酷用户7957773339  2018年01月24日    NaN     1.0  http://i.youku.com/i/UNDUzNTMzNzg3Mg==
越看越无语，小兰就不能争气点么，每次没什么屁事就要打给新一，新一怎么从来不主动打给你，除非有...     4.0                         智星怡  2017年11月28日    (1)     6.0  http://i.youku.com/i/UMjE5OTc0NTkzNg==
