comment    like                          nick     postTime  reply  unlike                                user_url
网络多爱国。人人都圣人。一群带节奏的的“高尚人士”。你们这么重视历史。想必也知道除了日本以外...     3.0                          夜吟低语  2018年01月01日    NaN     NaN  http://i.youku.com/i/UMjk0NzY1MDA5Ng==
                        赞我的人一定是英雄盖世英俊无比拥有很多人爱戴的郡主   144.0                    小龙70595036  2017年07月13日    (1)    20.0  http://i.youku.com/i/UMzI1MDUwOTQ5Ng==
说实在的，在日漫底下喷日漫的真的卑劣到一定地步有可能是外国人假装的都可能，你爱国不喜欢日漫还...     2.0          腾讯用户1515577563844166  2018年01月14日    NaN     NaN  http://i.youku.com/i/UNTUxNjAzODc2MA==
二次元的界限你们真的分清楚了么？别扯上三次元的关系，每当那些作家决定做了，那么就不属于任何一...     NaN                           桜之木  2018年02月11日    NaN     NaN  http://i.youku.com/i/UMTU0MDU1NjAwOA==
                         好激动！！！！感觉头一次有一部质量那么高的国漫！    11.0                     PEACHEOCH  2017年07月08日   (14)     5.0  http://i.youku.com/i/UMTQ2MjUzODk0NA==
         剧情很老套，打斗场面很敷衍，笑点尴尬，不要因为是国漫就降低标准，这样就是变相歧视     4.0                         非洲皮皮蝦  2017年07月08日    NaN     3.0  http://i.youku.com/i/UNDc5MDE1NDAwOA==
                   人脸没特色，一登场我以为是石田雨龙拿把剑，打斗风格好像欧美风     4.0          优酷用户1490673523797306  2017年07月08日    NaN     NaN  http://i.youku.com/i/UNDUyMDMyMzM4MA==
              这部漫画的设定有点像驱魔和钢炼的结合 貌似只能从画风看出来原作是中国的     3.0                      AshCrome  2017年08月25日    NaN     NaN  http://i.youku.com/i/UMzg0Mjc5MjMwMA==
                以前是国漫，黑白的，然后去日本换个马甲，加个颜色，就别以为我不认得    14.0                优酷用户5215276905  2017年07月19日    NaN     2.0  http://i.youku.com/i/UNDM4MzUwOTIwMA==
看个鸡儿，我开超清了，画面还是很90年代差不多，区别在于，一个模糊，一个清楚，再说一句，我看...     3.0                      Yikuai大洋  2017年08月20日    (1)     3.0  http://i.youku.com/i/UNDkyMTIxNzkxNg==
判断是不是国漫的标准，所有人物基本都是正脸，画面基本没有透视，人物基本占画面的1/2，很少有...     1.0                 rand019677278  2018年01月03日    NaN     NaN  http://i.youku.com/i/UMTY1MTc4OTg0NA==
呃，我要说的是那个飞利浦剃须刀广告……我一直以为他说的是：卖相成功…………以为大牌的广告词也...     1.0          腾讯用户1507630749521560  2017年12月27日    NaN     NaN  http://i.youku.com/i/UNTI0MzgyMjMyOA==
这不是大陆的漫画家, 是湾湾的漫画家。这是在日本连载的漫画，中国也有连载，那你们说这是日漫还...     3.0                       逍云Storm  2017年07月10日    NaN     NaN  http://i.youku.com/i/UNDc5NDk1NDI4NA==
