comment    like                            nick     postTime   reply  unlike                                user_url
                      汪小圣，能TM快点出第四季吗？？？我想用屠龙绐你个造化     NaN                      修罗M4K3G34号          4天前     NaN     NaN  http://i.youku.com/i/UNTczODQ3MzcxMg==
天桥骄子观台美优纪二手手机上转传大颗粒核桃燕麦全新上市爱不停歇突然无法情片生孩子没保龄有约高...     4.0                      承诺81823022  2017年05月18日     NaN    10.0  http://i.youku.com/i/UMzQzODUzMDUxNg==
                 刀锋快死曼是赛斯，灵狐是刀锋的，你个王八蛋快死，还睡了灵狐，快滚     5.0                            鸣空解说  2017年05月05日     (2)    23.0  http://i.youku.com/i/UMzkwODUwMDkyNA==
你们感到汪导容易吗？汪导它们要多少时间才能画出一个角色汪导把每个细节画的很好可是要多少心血。...     5.0                             万能爸  2018年02月20日     NaN     NaN  http://i.youku.com/i/UNDg2ODQ4Njk4MA==
                 汪小圣求求你了，快点把U盘给我吧，我们一起干掉刀片党！跟你一起污     5.0                        蒙同志de银影侠  2018年02月05日     NaN     1.0  http://i.youku.com/i/UNTYwMjgyODE4MA==
                    王道你到底还出不出第四季啦不出第四季我就要白郎戳爆你小精兵    11.0                 yang13617234345  2017年10月06日     NaN     2.0  http://i.youku.com/i/UNDU1NjI0NTYzMg==
               一整季去掉片头片尾总共90分钟左右，相当于差不多一部常规电影这么长、     6.0                          如果不曾动心  2017年10月25日     NaN     3.0  http://i.youku.com/i/UMzkzNzU4NTQwNA==
                         你将以正义之名向向生化集团宣战？司令你宣不了战呀     9.0                  土豆用户_837455031  2017年08月03日     NaN     2.0  http://i.youku.com/i/UMzM0OTgyMDEyNA==
                         汪狗，小剧场呢？又偷懒？你椅子底下的刀片不够多吗    17.0                         幻想之巅IMI  2017年05月05日     (2)     3.0  http://i.youku.com/i/UMzA0MTE4NzU1Mg==
                         不过我提点意见，最好把一件小事说完不要调别人胃口     8.0                        3-305迪斯科  2017年05月08日     (1)     1.0  http://i.youku.com/i/UMTc0OTA1MTQ4MA==
          呜呜呜，等了将近半年了，终于更新了。火线粉跟我一起喊：汪狗万岁，玄蚂动画万岁！     3.0                           学校爆破者  2017年05月05日     NaN     1.0  http://i.youku.com/i/UNDIwOTc4MjUyMA==
                第4季出下挑战boss啊汪导，就比如泰坦，上古巨蜥，或者什么什么的    11.0                            破洞而出  2017年08月26日     (1)     3.0  http://i.youku.com/i/UMzE5MTkxNjg5Mg==
终结者在哪集啊，都已经第十集了，终结者还没登场，不会这一季没有终结者吧，因为一季也就12到1...    10.0                       195742395  2017年07月12日     (1)     NaN  http://i.youku.com/i/UMzAzNzIyOTg3Mg==
                           隐形有什么用，用热感影响眼镜，影舞者随便杀。    12.0                    梦想非凡23470754  2017年05月07日     NaN     3.0  http://i.youku.com/i/UMzM0NTU4MzgxMg==
