comment   like                     nick     postTime reply  unlike                                user_url
                       人类的贪婪真是太严重了，不过一些人的爱国之心是可敬的    5.0                 一个人的生活一战  2017年08月04日   NaN     1.0  http://i.youku.com/i/UMTI4NTM4NDA4NA==
                         第三季不好看了，真沮丧，等了这么久，就这个结果。    6.0                     暴走汪酱  2017年09月26日   (2)     1.0  http://i.youku.com/i/UNDk4NzM1NTEyMA==
                       我的错觉吗？感觉男主长大过后长残了耶，小时候可爱一些   13.0                   巴里的糯米饭  2017年08月04日   NaN     2.0  http://i.youku.com/i/UNDExNTE3NjMwMA==
                            上天总是这样不公平，你创造了他却又要毁灭他    7.0                     不能言传  2017年08月04日   NaN     NaN  http://i.youku.com/i/UMTIwMzYyNTcwMA==
                      蒙面人不会是真正的加斯吧？如果不是熟人，干嘛带个围巾。    1.0                   emoboy  2017年11月28日   NaN     NaN      http://i.youku.com/i/UNDg4OTUzMg==
      刚看到8：58，真特么不是我不爱国，实在是看不下去了，果断滚回去看《维度战记》了。。。    NaN           手机用户_387478562  2017年11月13日   NaN     NaN  http://i.youku.com/i/UMTU0OTkxNDI0OA==
                     垃圾第三季，没一二部好看还要黄金会员，正当自己国际名片啊    5.0                   凌炎啊凌炎a  2017年08月06日   (1)    10.0  http://i.youku.com/i/UMzg5NjIzNTMwMA==
                  自古火爆的动漫OP都好听 这OP是什么鬼 好普通 咱们的祈殿呢    5.0                    风风得米粒  2017年08月05日   NaN     NaN      http://i.youku.com/i/UNDgzNzAzMjM2
                         为什么拆了瑞和糖心，新人物抢了瑞还抢了糖心的配音   16.0                     流年慕南  2017年08月29日   (1)     3.0  http://i.youku.com/i/UMzA2NTQ1Mjk3Mg==
                         中国3D都还尚未成熟，建议去看《了不起的菲丽西》    1.0             胜利之路83228189  2017年08月09日   NaN     8.0  http://i.youku.com/i/UMTcxMzI5ODQ1Mg==
                 小楠长得辣么丑，还是糖心好看，再说一句，第三季什么剧情啊？差评!   12.0                     暴走汪酱  2017年09月26日   (1)     2.0  http://i.youku.com/i/UNDk4NzM1NTEyMA==
                     我去，时间是把杀猪刀，瑞大叔，你好，瑞大叔，再见 -_-   10.0           手机用户_412383747  2017年09月16日   NaN     NaN  http://i.youku.com/i/UMTY0OTUzNDk4OA==
                         新一代纳米科技登场，未来会有重大变革！片子不错！    2.0                   老蟹农大闸蟹  2017年08月04日   NaN     NaN  http://i.youku.com/i/UMTIwNDc4NzM3Ng==
                          我以为是日漫呢 之前看的是什么核心 记不起来了    NaN     优酷用户1490538556221943  2018年01月17日   NaN     NaN  http://i.youku.com/i/UNDUxODIwOTMxNg==
                           非常不错的国漫 只是宣传力度太小了 可惜了！    7.0                     纳兰靖荭  2017年09月07日   NaN     4.0      http://i.youku.com/i/UMTk3NDY5ODU2
                    一直挺喜欢纳米核心，现在也不错。但主题曲感觉还是原来的好听    6.0     腾讯用户1501846614076573  2017年08月04日   NaN     NaN  http://i.youku.com/i/UNDg3MzA1Mzg0MA==
              不声不响的就出来了，土豆更新之后就没再去过土豆了，偶尔才发现已经出了。    1.0                      伊吹唯  2017年08月12日   NaN     1.0  http://i.youku.com/i/UMTI5ODc3MjA3Mg==
                          爷爷，你快看，你年轻是看的纳米核心出第三季了！    4.0                轩辕soldier  2017年08月08日   NaN     1.0  http://i.youku.com/i/UMzMzMTM0OTA4MA==
                         希望不要像双月之城一样不知所云，希望主线比较清晰    1.0                     云轩忆梦  2017年08月05日   NaN     2.0      http://i.youku.com/i/UNTkwNjQ3MDI4
            这部动漫的制作非常的用心，他们首先有真人进行表演，然后注意细节进行后期制作    1.0                   走吧户外领队  2017年08月04日   NaN     1.0  http://i.youku.com/i/UMTI4NjQ3ODM1Mg==
                            看来女主换人了，糖心居然变成了女二号，心疼    6.0                     云轩忆梦  2017年08月05日   NaN     NaN      http://i.youku.com/i/UNTkwNjQ3MDI4
                      女主最后临时换，一些人长大后变丑，这是不要粉丝的节奏啊    1.0                    阿罗工作室  2017年12月23日   NaN     NaN  http://i.youku.com/i/UMjkxMjI1ODg5Mg==
          哈哈哈，海岸线你终于回来了，从第一部一直支持到现在，中国为数不多的好动漫，加油    7.0                 杭州阿邦服装批发  2017年08月07日   (3)     1.0  http://i.youku.com/i/UNDQzOTAyNTI2NA==
                       都出三了啊，好期待，前两部非常不错，科幻题材剧情丰富    1.0                  雨后笑对花又榭  2017年08月17日   NaN     1.0      http://i.youku.com/i/UODUwMTkzNDA=
                           正篇开始的人物名字还是感觉倾向西化一点比较好    NaN                   _走路带风_  2017年08月15日   NaN     NaN  http://i.youku.com/i/UMzAxNDE3MDcwOA==
