comment    like                                  nick     postTime reply  unlike                                user_url
                 你们是不是傻，这本来就是四月新番，现在做个先导总集篇不是很正常？     3.0                                  雅会是v  2017年03月26日   NaN     NaN  http://i.youku.com/i/UMTU0NTkyNjk2OA==
                        你们在这部作品中最喜欢哪个英雄?我喜欢相泽消太老师    10.0                  腾讯用户1462595444573761  2017年06月11日   (2)     NaN  http://i.youku.com/i/UMzYyOTIwMzMyMA==
    连会员都不舍得买的人，你认为放广告给他们，他们会买吗？应该买会员赠广告才对，你说呢，优酷桑    19.0                                   祝戚O  2017年08月31日   NaN     2.0  http://i.youku.com/i/UNDc0MjcxMTA4NA==
                  看个动漫哪来的那么多事，有那时间说闲话的都不去去医院治治脑子！     1.0                        微信用户9212366609  2017年10月03日   NaN     1.0  http://i.youku.com/i/UNDY3Mjc2MTQ0MA==
    jo j'。喔pk。 呃呃天堂天 v 分4）不单纯到底。 服 一天吧 不成功的 vvtfv     NaN                  优酷用户1503810265792323  2017年09月19日   NaN     3.0  http://i.youku.com/i/UNDk0MzY1OTMyMA==
                   哦男男女女 您 您你in 那年那月那股，，u和密密麻麻解决比     NaN                  优酷用户1490446348459889  2017年08月22日   NaN     5.0  http://i.youku.com/i/UNDUxNTc2OTg5Ng==
                 B站难民报道。（要不是泛式SAMA的视频，我还不知道出了第二季）    15.0                          派大星派大星派大星派大星  2017年06月11日   (1)     NaN  http://i.youku.com/i/UNDYyODY1NzUyNA==
后面还要打黑化饿狼，灾害等级是神级的，最强的，打败了所有s级英雄//@神的小小世:还有后续/...     NaN                          子豪最叼12202704  2017年03月26日   NaN     NaN  http://i.youku.com/i/UMzE3MTczMDE1Ng==
                           看这部动漫让我有种瞬间变回热血中二少年的感觉     1.0                                 抢车的大兵  2017年03月25日   NaN     NaN      http://i.youku.com/i/UNTQ4MjI0Mzg0
              这一季应该就是讲体育祭 不知道ALL FOR ONE会出来钢欧陆麦特不     NaN                            MeBalancer  2017年03月25日   NaN     NaN      http://i.youku.com/i/UMjYzNzI1NjEy
这部番可能是在热血番中我最喜欢的，男主也不是那种无脑的热血少年，也不算是那种很废材的，总之是...     1.0                                   沓子桑  2017年12月03日   NaN     NaN  http://i.youku.com/i/UMzk1MTkxMTc1Mg==
讲真我第一次看到绿谷能力以为是他自己锻炼的，吃一根头发就能继承能力什么的我当时感觉是骗他的，...     2.0                       支付宝用户8940552266  2017年12月02日   NaN     1.0  http://i.youku.com/i/UNDM5NDAxMzMwMA==
真的超级喜欢欧叔啊啊啊啊！！！！！！也安利你们去看原作漫画啊！！！原作也超级棒的啊！！！pl...     3.0                               siton豆豆  2017年03月31日   NaN     NaN      http://i.youku.com/i/UMjc1MTM5MTM2
这是标准的热血番，你会这样认为这是对这种类型不喜欢而已//@我不是你-3F4CD:这个还是适...    11.0                               笑笑宇宙第一帅  2017年05月20日   (1)     2.0  http://i.youku.com/i/UMzMzNzgyNzQyOA==
                   回忆也好，这是先导片。就冲绿谷普通人赶冲出去救人，他就是英雄     3.0                                 魔主弃天帝  2017年03月26日   NaN     NaN  http://i.youku.com/i/UMTY2NzM0NzIzMg==
                         如果我是英雄，我会选择不能拯救世界，那就毁灭世界     8.0                       liangliangaiwen  2017年07月31日   NaN     1.0  http://i.youku.com/i/UMTIwMjIyNDE0OA==
               在这里刷一拳的都是垃圾，这不是一样的热血，看那种满级虐小怪的有意思？     1.0                              羽蛇神E1DF1  2017年03月26日   (2)     7.0  http://i.youku.com/i/UMTQ5MjAyNDcxNg==
         在优酷看，真的不开弹幕，看你们下面评论撕的，就呵呵哒，眼不见心不烦，没什么好撕的     NaN                        土豆用户_775065933  2018年01月12日   NaN     NaN  http://i.youku.com/i/UMzEwMDI2MzczMg==
                               没啥意思，情节老土，适合低龄小学生看     4.0                                 风来的西神  2017年08月06日   (4)    58.0  http://i.youku.com/i/UNDgxMjExMDU1Ng==
                                           B站难民＋1    43.0                  优酷用户1465488132436999  2017年06月23日   (3)     2.0  http://i.youku.com/i/UMzcxMzk4NTg0NA==
日本动漫好久没有那么热血的动漫了！虽然没个人的看法不一样，但是这部动漫有好多地方可以让我泪流...     4.0                        土豆用户_417931520  2017年09月17日   NaN     NaN  http://i.youku.com/i/UMTY3MTcyNjA4MA==
 看风景的军事基地开裆裤目瞪口呆，，，，啊，啊，上，上，，咋，，是啊，，，啊，，啊，啊。x 。 x     NaN                                   牛犇狂  2017年08月23日   NaN     4.0  http://i.youku.com/i/UMzE2OTUyMzIwOA==
                            作为一个成年人这部番激励我怕坚持锻炼了一年     4.0                                   恒折星  2017年05月20日   NaN     NaN  http://i.youku.com/i/UMzI5ODEwODU4NA==
                       这个女主持人难道不是被奥特麦救出来那个画面中的女人吗     4.0                                 抱着枕头说  2017年05月19日   NaN     NaN  http://i.youku.com/i/UMTQ3NzkyOTQ4OA==
                           播到一半插播广告是什么意思，以前都没有这样啊    13.0                  腾讯用户3252469128815011  2017年08月28日   NaN     NaN  http://i.youku.com/i/UMjg4MzQ0MDgxMg==
                          不喜欢传统王道的直接弃番不更好，非在这吐槽什么     1.0                  微博用户1468247121594625  2017年04月17日   NaN     1.0  http://i.youku.com/i/UMzc5MTAzMTQ1Mg==
                      我从上上半年暑假 等等到现在更新 这部点燃我内心的动漫     1.0                            _359732422  2017年03月27日   NaN     NaN  http://i.youku.com/i/UMTQzODkyOTY4OA==
                           席巴，更新了一集前情回顾…不过也是个好苗头。     NaN                        土豆用户_486925528  2017年03月25日   NaN     NaN  http://i.youku.com/i/UMTk0NzcwMjExMg==
                 喜欢这样的动漫。。终于等到更新了。。。反正我感觉比一拳好看。。。     6.0                               四大皆可空yo  2017年04月01日   (2)     5.0      http://i.youku.com/i/UMzAxMTQ0Njg=
                                    mb什么破动画片 做得好烂     2.0                                 小丸子潸冉  2017年06月11日   (5)    72.0  http://i.youku.com/i/UMTM3MjUwOTkyNA==
                           说实话 ，我英的宣传太不给力了，明明这么好看     3.0                                万睡万睡万万  2017年05月06日   NaN     NaN  http://i.youku.com/i/UMTYyNzc4NzY2NA==
                    终于出了，我看到的最热血的动漫，没有之一，后几个月有盼头了     3.0                                   金恒君  2017年03月25日   (1)     NaN      http://i.youku.com/i/UMTY2MzQzODA4
真的是五岁笑三岁，好笑//@笑笑宇宙第一帅:这是标准的热血番，你会这样认为这是对这种类型不喜...     4.0                             ypcwddhoo  2017年05月22日   (4)     4.0      http://i.youku.com/i/UNjUwNzQ3Mg==
能不能多报道些中国动漫，现在中国动漫择很不错。很多中国文化题材的动漫都不错。为什么一集下来就...     6.0                        优酷用户4710267118  2017年08月14日   (1)    11.0  http://i.youku.com/i/UNDM0NDIzMjI2OA==
                                         停更是什么意思？     7.0                                爱购物的落落  2017年07月05日   (3)     NaN  http://i.youku.com/i/UNDI0NTkzNjA4NA==
                      作者赐予我超能力吧！！！我要金木水火土，点石成金！！！     NaN                       菲菲菲非常厉害的巨兔12138  2017年10月28日   NaN     NaN  http://i.youku.com/i/UMzM4MTczNzE0OA==
                      感觉还有的样子怎么就完结了，还好第三季已经有消息了😄     NaN                                 陌路983  2017年10月04日   NaN     NaN      http://i.youku.com/i/UNTU4NDgxOTc2
                      啊噫咕，搜索界面第一季20集，点进去只有13集´_＞`    10.0                                 amAMp  2017年08月03日   NaN     NaN  http://i.youku.com/i/UNDg2OTQzOTc0OA==
                        还没更新 卧槽了 什么时候才能更新 三天两次的停更     4.0                          卡布奇诺04070631  2017年07月08日   NaN     1.0  http://i.youku.com/i/UMTQwNzc3Njg1Ng==
                     ni你更新我很高兴 但是我 的火影永远的终结了。。。。唉     NaN                         huoyingzhj126  2017年03月26日   (1)     NaN  http://i.youku.com/i/UMjY4MTk0NDM2OA==
                           轰好好看啊啊啊啊啊卧槽啊啊啊啊求出镜率多一点    11.0                        腾讯用户7855660137  2017年08月02日   NaN     1.0  http://i.youku.com/i/UNDQyNzY5MDY2NA==
                                          蓝忘机:hi～     4.0                  腾讯用户1463824170652383  2017年07月05日   (3)     4.0  http://i.youku.com/i/UMzY1OTczNDU4MA==
                         非常励志的动漫，每周周六我都要看，觉得好看的点赞    10.0                  微信用户1505559499522411  2017年09月16日   NaN     1.0  http://i.youku.com/i/UNTAwMjIxMzI0MA==
             我第一次看我又不知道英文，还是，还是日本？语言，这个动漫感觉一点都不好看     NaN                                  爱娜利亚  2018年03月15日   (1)     1.0  http://i.youku.com/i/UNTQ5MzEyNjU4NA==
                                 日本动漫一大定律，救世主必定年少     4.0                                  蓝蓝的鬼  2017年07月30日   (2)     1.0      http://i.youku.com/i/UMTE5NTkxNjky
                                           哈哈，第一啊     4.0                              boboknow  2017年03月25日   (3)     NaN      http://i.youku.com/i/UMTM3ODU3NDY4
                      慢好看的，但是内些一拳的人管好你自己的嘴，别一天臭下去     2.0                            里昂57779555  2017年08月09日   NaN     1.0  http://i.youku.com/i/UMTMyNzYyNjE3Ng==
                                     没有查克拉可以成为忍者吗     8.0                         支付宝用户43868008  2017年06月26日   (2)     1.0  http://i.youku.com/i/UMzM3NTc4NzgwNA==
                                你们能缓存吗…我这边老是加载不出…     4.0                                  雨霁云散  2017年08月25日   (2)     NaN  http://i.youku.com/i/UNDkzNzQ5MjY1Mg==
兄弟，节哀//@微博用户6081408662:第一季 是你说很好看 很励志 于是和你一起看了...    12.0                             为这个世界献上祝福  2017年05月13日   (2)     NaN  http://i.youku.com/i/UNDM3NTA2NDA1Ng==
                                 emmmmm请问第二季完结了吗？     9.0                        腾讯用户6357338689  2017年08月01日   (2)     NaN  http://i.youku.com/i/UNDQ1MzI2MDUwNA==
