comment   like                         nick     postTime reply  unlike                                user_url
                           当然还有现在的画江湖系列 都很爱！ 依旧第二    3.0               淘宝用户8627183331  2018年01月28日   NaN     NaN  http://i.youku.com/i/UNDY5MjQzMjY2NA==
                        这部剧我追了好久了第二季出的好慢啊！等到头发都白了    3.0                     傻猪猪29635  2018年01月27日   (1)     NaN  http://i.youku.com/i/UNTM5NjE4MjA0MA==
                           这他妈就是国漫？都教的啥？观音坐莲？脏话连篇    2.0               微信用户9221395871  2018年01月18日   NaN    32.0  http://i.youku.com/i/UNDI1MDE4NjUwNA==
                          鼓風管好的火鍋哈哈哈姐哈哈哈哈哈哈哈哈哈哈哈哈    NaN      yunos用户1517630553136848  2018年03月11日   NaN     NaN  http://i.youku.com/i/UNTU5MDQ5ODU3Ng==
                    感觉做的比第一部好多了，动作没那么僵硬了，国漫还是要支持的    1.0                        贝多芬悲赵          1周前   NaN     NaN      http://i.youku.com/i/UMzc2MjU1ODg4
                   国漫垃圾？？国产电影五毛钱特效？？有时候怀疑你是不是中国人。    5.0                          别岸红  2018年01月18日   NaN     7.0  http://i.youku.com/i/UNTM5MTU5OTE0OA==
             配音跟日漫比差的真不是一点半点. 说实话 内容也是营养一点也没有. 垃圾    NaN                        亓大媛33  2018年02月05日   NaN    11.0  http://i.youku.com/i/UNDY5OTMwMzIwOA==
                          还好我看过漫画，不过宝儿姐这配音也是绝了、、、    4.0                         火柴唯一  2018年01月19日   NaN     NaN  http://i.youku.com/i/UMTYyMjIwMjUwMA==
                                  此生不悔入一人，看我宝姐埋活人    4.0                        风紧_扯乎  2018年01月17日   (2)     2.0  http://i.youku.com/i/UNDExMDYxODY1Mg==
                          这台词感觉还是差一些，一些动作也是，祝越来越好   13.0                   RockeDE2AE  2018年01月12日   (1)     7.0  http://i.youku.com/i/UMTQ3NzkxNDkzNg==
        反正我不怎么喜欢日本动漫，至少现在不喜欢，小时后经常看，现在感觉好幼稚(；一_一)    1.0                 腾讯用户05295288          1周前   NaN     NaN  http://i.youku.com/i/UMzM0MDI5NzM3Ng==
                       就是配音感觉没什么代入感，多向日本那方面学习，超过他    1.0        支付宝用户1477670453343319          1周前   NaN     1.0  http://i.youku.com/i/UNDA5ODMxMzE5Mg==
                       一人之下，就是你不管练什么、怎么练，都在宝宝姐之下！    NaN                          千流金          2周前   NaN     NaN  http://i.youku.com/i/UMzIyNzQxOTM1Ng==
                             国漫一个个比那个制作时间短呢是不是。真水    NaN                         心中的穆          2周前   NaN     NaN  http://i.youku.com/i/UMTU4MDY4MDA4NA==
                          送我上去，我要开喷了 ！呸。。你们都是小猪🐷    9.0               土豆用户_798970664  2018年01月13日   (2)    24.0  http://i.youku.com/i/UMzE5NTg4MjY1Ng==
                         支持国产动漫，喜欢里面的方言，还学了不少，哈哈哈    NaN                    那时候的我们都很二  2018年03月08日   NaN     NaN      http://i.youku.com/i/UNTg5NTI1MzQ4
    所以为什么会出现在日本动漫里？地区我特意选择日本，但是为什么这部动漫会出现在日本动漫当中？    1.0                           枦潞  2018年03月03日   (1)     NaN  http://i.youku.com/i/UMzg3NjQ5MDgzNg==
                       这本真的好看，最喜欢女主的四川话，不过为什么不能下载    1.0                        寒冰雪心月  2018年03月02日   NaN     NaN  http://i.youku.com/i/UNTU5NDYyOTcwNA==
                          从这部国漫就能看出中国的文化博大精深，支持国漫    NaN               淘宝用户5040957652  2018年03月02日   NaN     NaN  http://i.youku.com/i/UNDc0MjU1MzM1Ng==
                    别的不说，我爱这部动漫，它是我现在唯一想追的漫了，国漫加油    NaN                        姑苏一碗倒  2018年02月26日   NaN     NaN  http://i.youku.com/i/UNTMwNjY0NjcxNg==
                 这程度可以了，电视剧配音都有时候看到不行，动漫更要低一点要求了。    NaN         优酷用户1511969414128596  2018年01月29日   NaN     NaN  http://i.youku.com/i/UMzM0MjYwNzcyNA==
                             终于出第二季了 国产动画的更新速度太捉急   16.0                         地葬天行  2018年01月12日   (1)     1.0  http://i.youku.com/i/UNDUwMDMwMDE5Mg==
                              给力，国漫崛起，日语版就是垃圾没毛病吧    5.0         微信用户1515759379430171  2018年01月25日   NaN     2.0  http://i.youku.com/i/UNTUyMDIxMDIzMg==
                              一人之下不是国漫嘛？怎么优酷显示是日漫    NaN                      zy88502          2周前   (1)     NaN  http://i.youku.com/i/UMTUyMTk5NzQ4NA==
                               想、还是本地话听着舒服，日语的不行啊   13.0                        啊是逗你玩  2018年01月14日   NaN     1.0      http://i.youku.com/i/UMjMxOTAyMzg4
                          几年没看动漫，国产动画已经画的这个么好了，真棒    1.0                     鱼飘雪27776  2018年01月19日   NaN     NaN  http://i.youku.com/i/UNTAwNzY4NzMzMg==
                             制作蛮好的啊，尤其是宝儿姐的动作之流畅！    2.0               mytaobaowang10  2018年01月18日   NaN     1.0  http://i.youku.com/i/UNDIwMjExNDc2OA==
                      咱中国的动漫就该这样！看的过程中了解了解文化的多样性！    NaN                         爱宝臭臭          1周前   NaN     NaN  http://i.youku.com/i/UNDkyNjM4MjEyOA==
                                      社会我宝姐 人狠路子野   16.0                       巭孬嫑昆勥哦  2018年01月13日   NaN     NaN  http://i.youku.com/i/UMzAzNDQ3NTMyNA==
                     哇咔咔，第二季来了，哇咔咔，不过话说第二季啥时候出来的哟    6.0                          优酪雪  2018年01月14日   NaN     1.0  http://i.youku.com/i/UMzY2NDY0MjI2MA==
                           近来刚发现国内动漫已经做得这么好了，真开心！    NaN         微信用户1476073499135407  2018年03月12日   NaN     NaN  http://i.youku.com/i/UNDA0NzIzOTcyOA==
                                           力挺一人之下   15.0                   xuehuD3F32  2018年01月13日   NaN     3.0  http://i.youku.com/i/UMTM3OTY4NzgwOA==
                              动漫我只看国漫，不知为什么，别的没兴趣    NaN           昌雨1480855560139521        16小时前   NaN     NaN  http://i.youku.com/i/UNDI1NTY3OTg0MA==
                                     怎么才这点人这么好的动漫   15.0                 优酷院线72724510  2018年01月13日   NaN     NaN  http://i.youku.com/i/UMTcwMzkxNjA5Mg==
                    听好看的 就是不能下载 真脑残 下载又能侵犯你什么 真无语    NaN           一天1480313791002856  2018年02月23日   NaN     NaN  http://i.youku.com/i/UNDIzODgwODg5Mg==
                           好很好，可惜日漫痕迹有点重，加油加油!非常棒    NaN                      rover14  2018年02月21日   (1)     NaN      http://i.youku.com/i/UMjczNzQ4NjQ=
                                情商智商令人堪忧的狗，注定无人问津    1.0      yunos用户1518621468794122  2018年02月14日   NaN     NaN  http://i.youku.com/i/UNTY2MDAyNDM0NA==
              求求那些配音的演员，能不能用自己的声音来说话啊，，，，，唉，，，，，，    1.0                        微熊在路上  2018年02月02日   NaN     2.0  http://i.youku.com/i/UNDEzMTg0NDU1Ng==
                       想问一下，这是周更？还是半月更？更新速度是怎么样的？    1.0               优酷用户6607554640  2018年01月22日   NaN     2.0  http://i.youku.com/i/UNDM1NDIyNDEwNA==
                            这个不错，画风细腻了，就是声优还是差很多。    1.0                         瞬秒加速  2018年01月17日   NaN     1.0  http://i.youku.com/i/UNTM1MzEzODc2MA==
                            还没更新啊，不够看，剧情很好看，口音也可爱    4.0         优酷用户1466752201323338  2018年01月16日   NaN     NaN  http://i.youku.com/i/UMzc1MTQ5MzYxNg==
                                我有炁体源流我骄傲了么 米晶子写的    NaN         微信用户1521116003299552  2018年03月15日   NaN     NaN  http://i.youku.com/i/UNTc4MDk1NTMyOA==
                                    阿威18势，全活儿不打折。    8.0               优酷用户8511262556  2018年01月13日   NaN     1.0  http://i.youku.com/i/UNDQxNDQyNDYzNg==
                              窝草，个人觉得真不错啊，人气咋这么低？    4.0                       萌萌哒丶一张  2018年01月17日   NaN     NaN  http://i.youku.com/i/UNTUxODM0NDgwMA==
      国漫日漫都喜欢 觉得国漫越来越棒啦 国漫配音现在也很有感觉啊 国漫加油 祝国漫越来越棒    1.0                       Ayuisa  2018年01月28日   NaN     NaN  http://i.youku.com/i/UNTUyNzQ5NTU4OA==
                             为什么接不上第一季呀，我是错过了什么吗？    2.0         腾讯用户1508129507832691  2018年01月24日   NaN     NaN  http://i.youku.com/i/UNTI2MDA2NTE5Mg==
                                  自己国家都吐槽，你这人就是欠揍    3.0      yunos用户1518621468794122  2018年02月14日   NaN     NaN  http://i.youku.com/i/UNTY2MDAyNDM0NA==
                                这一人之下的第一季和第二季有关联吗    NaN               优酷用户7838184539          5天前   NaN     NaN  http://i.youku.com/i/UNDQ1MzQ2MDg0NA==
                                    诸葛青的日语听着就是小学生    2.0                          狂生意  2018年01月14日   NaN     NaN  http://i.youku.com/i/UMTYyNDc0ODQxNg==
                              很好看啊！看点和笑点都有。觉得很难得啊    1.0                     冬虫夏草撞羽朝颜  2018年02月02日   NaN     NaN  http://i.youku.com/i/UNDk3MDM5NTc3Mg==
                                             真心不错    5.0                        陈酉昔yx  2018年01月13日   NaN     NaN  http://i.youku.com/i/UNDMwNjQ2NTMwNA==
                非常不错的国漫，喜欢！日漫都看了超级多了，没想到国漫也可以这么好了    NaN                       黑暗的沃尔什          3周前   NaN     1.0  http://i.youku.com/i/UNTc5MDk3NTU4OA==
                                  为什么狐妖小红娘里面也有夏和?    1.0                        应U蓝霹雳  2018年03月11日   NaN     NaN  http://i.youku.com/i/UNTI4MDU2MjI0OA==
                       配音也不能说不好，就是感觉每个人的说话风格太相近了。    NaN        支付宝用户1518579130742672  2018年03月08日   NaN     NaN  http://i.youku.com/i/UNTY1NTA3NDQ4NA==
                                            四川人动漫    4.0                       ?828D5  2018年01月13日   NaN     NaN  http://i.youku.com/i/UMTM2MzQ4MDYyMA==
                              做的确实还不错，就是配音再好点那就好了    NaN               淘宝用户5736562878  2018年02月10日   NaN     1.0  http://i.youku.com/i/UNDc4MDIzMjMyMA==
                                 以后坚决不看了 掉胃口掉的过分了    NaN                 茜18132313047  2018年02月06日   NaN     1.0  http://i.youku.com/i/UNTQ4NDU1MTk3Mg==
                                        不是该18集了吗？    2.0                  game_ttayg9          2周前   NaN     NaN  http://i.youku.com/i/UMjk3OTg5OTY3Mg==
                                               20    4.0               微信用户5794247221  2018年01月13日   NaN     1.0  http://i.youku.com/i/UNDc2NzgwNjAzNg==
                                     说话好奇怪，。跟口型不对    3.0                       ZNJ炸天哥  2018年01月13日   NaN     6.0  http://i.youku.com/i/UMzEwMjE1MjcwOA==
                                   我现在只看国漫！虽然更新慢点    1.0                     从你的泉世界路过  2018年01月25日   NaN     NaN  http://i.youku.com/i/UMTMzMTQ0ODk4NA==
                                            怎么没更新    2.0         腾讯用户1477650741140129          2周前   NaN     NaN  http://i.youku.com/i/UNDA5NzE5MTA4MA==
                                  忽然觉得国漫很不错了，喜欢💕    1.0                支付宝用户85919355  2018年02月16日   NaN     NaN  http://i.youku.com/i/UMzA1NDgwNTI3Mg==
                                 讲道理，不是所有人都能爱听四川话    2.0               淘宝用户7016216207  2018年01月17日   NaN     NaN  http://i.youku.com/i/UNDcyOTk5MjgwMA==
                                    动画快点跟上漫画节奏啊。。    1.0               土豆用户_392289065  2018年02月09日   NaN     NaN  http://i.youku.com/i/UMTU2OTE1NjI2MA==
                                 一人之下让人看到了中国漫画的希望    1.0          一个人旳日子そ用烟来迷14405318  2018年03月15日   NaN     NaN  http://i.youku.com/i/UMTc1NTE4NDE5Mg==
                                               15    2.0                       ZNJ炸天哥  2018年01月13日   NaN     1.0  http://i.youku.com/i/UMzEwMjE1MjcwOA==
                                宝儿姐的四川话太好玩了，喜欢的点赞    1.0                       小博博大宝宝  2018年02月26日   NaN     1.0  http://i.youku.com/i/UNTcyMTc3MjY1Mg==
